review,rooms,service,location
"Beautiful and Peaceful Place.Ample Parking Space. Great Ambience. Excellent Service.Courteous and Helpful Staff. Hygiene well - maintained. Good Quality food served . Breakfast Spread 👍. Activities,Pool,Gym,Spa -Tattva spa 👍.Evershine Resort is the best place for Families and Friends to visit, stay and relax !!!",5,5,5
the reception staff was so rude i called to book a room and he dont knw how to greet the customers on calland talk with courtesy. i called him around 1:30 pls checkout who is the person and take some step otherwise its a big concern about the property . hoteln is a 4 star property and how ur keeping ur staff so dis mannered,1,1,1
"The place is amazing as far as the location goes. They have various activities inside the resort which keeps everyone engaged and entertained. The pool is great and the ambience is amazing. Only thing disappointed this time was the food particularly buffet, their was variety but not taste, breakfast buffet was still good compare to dinner buffet. Room service food tasted amazing but a bit overpriced.",4,5,5
One of the best resorts in Mahabaleshwar. The property is very well done and maintained. Buffet breakfast is worth it. Room rates are a bit on the higher side though.,4,3,4
"Good property, excellent service and nice food options. Special focus on Kids activities",4,5,4
"Nice property, nice ambience and excellent hospitality. Best option for happy stay in Mahabaleshwar",4,5,4
Stay and dinning were super awesome..Great hospitality..Will suggest and like to visit the property again and again...,5,5,5
"Good location, excellent service and hospitality, food awesome, excellent property, budget room, cleaning services good,staff good cooperative.",5,5,5
A must stay place.. good service courteous staff.. adventure activities in house.. good place to unwind,5,5,5
"Nice structure, suitable for good service, expensive, nice food",4,3,3
The staff is very unprofessional and though had finalized the place to stay the staffs attitude forced me to cancel and move out.,1,1,1
Place is awesome but the service was very lethargic... needs some serious and immediate improvement.,2,2,4
Worst hotel.. Worst service.. 3rd class staff.. Zero management,1,1,1
Guest service has slightly deteriorated.,3,3,3
Not a great place at all,1,1,1
Most preferred place in Mahabaleshwar.,5,5,5
"I visited this hotel in mid June, just at the start of monsoon which was the perfect weather to be at this property.Amazing hospitality, ambience as well as food! Was a bit hesitant to book at first but completely worth it, definitely a must try if you visit Mahabaleshwar for a day or two.",5,5,5
"Small rooms, food quality has decreased now as compared to 2019 or 2021. Was a good option to stay in Mahabaleshwar earlier. Now it's just ok. Nothing great abt this property now. U can try out some Boutique properties like Tranquil (nearby) or Dreamland (atleast rooms are big enough)",3,3,3
"Good property, cleanliness , hygienic, room service , every thing is good, window or gallery view amazing.",3,3,3
"Lovely ambience and aesthetic architecture. Delicious food, live counters and courteous staff and chef",5,5,5
"Very nice place , not far from the venna lake and market. The rooms are very neat and comfortable to stay. The staff are very friendly. Room service is excellent. They are responding to every request with lot of care. The buffet lunch provided is very good and price is also reasonable. They provided activities indoor games as well to entertain kids. Pool is big to use if the weather permits, we couldn't use as it's raining. Overall a very good place to stay at Mahabaleshwar.",5,5,5
"Nice Place, Good Ambience , Clean Atmosphere and Satisfactory Services.",3,3,3
"A good resort with all the amenities. Good food, cordial staff. The price is a bit expensive though.",4,4,4
Everybody from the staff to the cook is very cordial. The cleanliness and maintenance of this place is amazing. And the best part is the proprietor of this hotel. She is a wonderful lady.,5,5,5
Utter rubbish! Rooms are not to that level as per the price quoted by them! Bed sheets were dirty! Towels looked old!,1,1,1
"Very lovely and high end luxurious place. Well maintained garden, good hospitality, well maintained pool, sports area etc.",5,5,5
Excellent place with good rooms and service,5,5,5
One of the good resort in Mahabaleshwar,4,4,4
Food is awesome. Biggest hotel in mahabaleshwar,5,5,5
"Went for my birthday dinner today 11Aug 18 ! The food was lovely ,good service nice ambiance !",5,5,5
"Neat and clean Big rooms, A very good ambience, Very co-operative and friendly staff",5,5,5
"Nice structure, suitable for good service, expensive, nice food",3,3,3
Fantastic resort with good multiple recreational options on hills of Mahabaleshwar.,5,5,5
Great location good food ambience nice decor well maintained,4,4,5
"Lovely rooms , ambience and hospitality!",4,4,4
"Wow great resort. Good staff,good buffet, washroom and blankets for drivers, i liked it.",5,5,5
Very Good hotel . Well maintained hotel with clean rooms . However all rooms are of same size and price varies based on window facing. Prices are high during seasons,3,3,3
"Amazing hotel, best in Mahableshwar.",5,5,5
"Excellent resort to spend a few days with kids. They have a lot of activities for kids as well as adults. The kids play area, jungle trek, Rick climbing and swimming pool are in excellent condition.Break fast buffet is good with amazing dosas served by Shankar which we choose over eyes. That says a lot about the dosa.The rooms are nice and clean.Dinner buffet is good to but the roasted chicken stood out. The best chicken i have had. Not oily yet juicy.",5,5,5
"Very soothing and warm place. Serene, calm and relaxing for a holiday. Very airy and surrounded by greenary. Elegant and classy. During monsoons a treat to walk in the foggy gardens. Recreation area has a spa, fitness center and a swimming pool. Food is good. Veg and Non veg. I liked Chef Shankar south Indian utappam",5,5,5
"Too costly for it's value. Service and food equivalent to any regular hotel in Mumbai but the property and swimming pool are very good. However, it's one of the few decent options in Mahableshwar.",3,3,3
Ambience is good. But food is average,4,4,4
"Best hotel in India, Great experience , Hospitality, Environment, full relax in nature",5,5,5
Great surrounding and awesome ambience coupled with delicious food and hospitality. ,5,5,5
A good and comfortable place to stay,4,4,4
Best Hotel in Mahabaleshwar.Good room.Nice food.New village Theme restaurant in open space near pool side.Every time we see good changes.Garden and fountain nicely decorated.Staff is TOO Good. Best Hospitality.All the best to the Entire Team.,5,5,5
"Excellent place to relax with amazing climate. The hospitality is worth every penny. Awesome food, thanks to Chef Lallan to make our trip a memorable one",5,5,5
Good place,4,4,4
Good lobby ..rooms not good..small rooms,3,3,3
Amazing resort with beautiful landscapes and amenities,5,5,5
Nice resort but food could be more better.,4,4,4
Very good Place,5,5,5
Nice property and humble staff,4,4,4
"Superb ambience, excellent food quality, lots of variety of activities and very hospitable staff ..",5,5,5
Well organised property,4,4,4
Good property... Excellent food... Rooms are small,4,4,4
Awesome hotel with good people. Always enjoyed,5,5,5
It is a 4* hotel. Rooms are neet and good. However the floor is not carpeted and therefore too cold to walk barefoot. Food quality is good but little expensive.,4,4,4
Very upmarket place. Very good if ur budget is not a concern. You will love the peacefull stay here,5,5,5
"Pleasant , Picturesque property.",5,5,5
Very upscale hotel,4,4,4
Beautiful Heritage building for comfortable stay at Mahabaleshwar.,5,5,5
Best hotel,5,5,5
Hotel keys mahableshwar is best hotel I have ever visited.. a bit expensive but worth each penny,5,5,5
Nice place. Very helpful staff. Good food.,5,5,5
2nd best hotel in Mahabaleshwar,5,5,5
food was delicious,5,5,5
food was not delicious,1,1,1

food is not delicious,0,0,0
