Review ,trip type ,service,location,rooms
"We stayed at sayaji for week with 23 month old baby and had a very pleasant experience.the buffet spread was huge ,with excellent prepration, served in personalized and courteous manner. Ambience around pool side with music n singing by Venkatash",business,5,4,
Was pleasing pause to hold you.Good room cleaning&housekeeping.All staff arevery helpfull & gentle.,,,,
"The manager vijay & staff mention name is niraj,arshad ,omkar,ashish ,dheeraj are nice ,helpfull.",,,,
We would reccomend others to visit n stay for sure,,,,
"Service is worst considering 5*, fire safety spaces are occupied for other usages, god knows what will happen in case of emergency. Smell bad sometimes. Room card gets inactivated often, its very inconvenient.",,1,2,1
Hotel has not trained staff for hospitality. Even the managers doesn't seem to be qualified/trained.,,,,
"Recently I stayed here for 1 week. It was a wonderful experience. The best part about the hotel is its staff. Very humle and supportive staff. Thanks to Dodon, Manoj, Snehal and Jyotsna. The dinner buffet is awesome. Amazing time at Turque with friends. The location of hotel is of great convenience.",,5,5,4
It's 5 star hotel. Good for parties. Barbeque nations is at top floor,,5,5,5
"Service and food quality is great, great ambiance.... service is awesome.. specially I am impressed with the service of Rahul salve....who attended me...sayaji helped me to arrange great experience for my daughter's birthday celebration",,5,5,5
Went for buffet lunch on a Sunday with prior reservation.. Bummer was they didn't have a table ready even when they had my details on their list. Had to wait till they managed to arrange one.,family,3,4,
"Food was average, place is very congested, will recommend it only for inhouse guests, for outside bookings, there are much better options",,,,
Wonderful hotel. Their dinner buffet was best in class. A huge variety of both veg and non veg. Breakfast buffet was also free for us and we had a wonderful stay. One of the best stays I have ever had.,business,5,5,5
Efficient operations value for money. Vert courteous staff. The location is not much but convenient for local business visitors.,,4,3,4
Front office staff can be more attentive and polite. Rooms are good. The location has nothing special. The breakfast is very good.,,,,
"I stay 2 night in sayaji pune. I have stayed in all branches of sayaji but in pune service is very poor. No one dropped till room. I Carry my luggage by self both time when checking in and also at times of check-out. After dinner room service was also poor, Before 30 minutes i tell at the counter to complete my bill. But they are not taken it seriously. When i come again at counter again he takes another 10 minutes for bill preparation if u are charging 7000/ per night pl give proper service to the guest",business,1,3,3
Great hotel on Pune-Mumbai highway. Has parking area for vehicles. Spacious rooms and even halls for engagement and birthday parties. Food is delicious ?? and staff is humble and helpful.,,5,4,5
"I must say if your are looking a place to stay or to hangout in pune, near Hinjewadi or Banner, please make sure to select this hotel.",,5,5,4
"Service is A-1, they won't make you to call multiple times for services to it done, you just order and get the thing's done.",,,,
Food : OMG I went to many 5* hotels but no one matched the Sayaji taste. Daily 3 times buffet  multiple options in food and best role is played by food taste.,,,,
They have multiple offers running on corporate or family lunch/dinner events .,,,,
I can guarantee you will not be disappointed by Sayaji ,,,,
"The hotel is located at Mumbai Pune Highway. Has almost all the nice amenities of a 5 star hotel. Rooms are cosy and comfy , food is great and services are excellent . Barbeque Nation is situated on 10th Floor. Ground Floor has buffet restaurant and poolside place is the best. Also a dedicated section the there for hosting marriage functions .",business,4,5,5
